Date,Name,Year,Letterboxd URI,Rating
2023-02-20,"Argentina, 1985",2022,https://boxd.it/qLxM,4
2023-02-20,The Secret in Their Eyes,2009,https://boxd.it/1vWw,5
2023-02-26,Clue,1985,https://boxd.it/1MDQ,4.5
2023-02-27,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2023-03-05,The Prestige,2006,https://boxd.it/293w,3
2023-03-14,Interstellar,2014,https://boxd.it/4VZ8,4.5
2023-03-16,Scream,1996,https://boxd.it/24EC,3.5
2023-03-21,The Simpsons Movie,2007,https://boxd.it/6YU,4.5
2023-03-30,The Game,1997,https://boxd.it/26vC,3.5
2023-04-02,10 Things I Hate About You,1999,https://boxd.it/23AO,3.5
2023-04-09,The Departed,2006,https://boxd.it/28MA,4
2023-05-02,Pride & Prejudice,2005,https://boxd.it/24u8,4.5
2023-05-02,Doctor Sleep,2019,https://boxd.it/i5vI,2
2023-05-07,A Man Called Otto,2022,https://boxd.it/zl06,3
2023-05-11,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,2.5
2023-05-15,Suzume,2022,https://boxd.it/yv7Y,5
2023-05-18,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,2
2023-05-18,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2023-05-21,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4
2023-05-22,Broker,2022,https://boxd.it/rDUU,4
2023-05-22,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
